# name  true_label  pseudo_label  match  cifar_test_idx
414.png 3 3 True 8169
415.png 6 6 True 8213
416.png 3 3 True 8224
417.png 5 5 True 8263
418.png 6 6 True 8270
419.png 3 3 True 8271
420.png 3 3 True 8298
421.png 5 5 True 8301
422.png 9 9 True 8332
423.png 3 3 True 8343
424.png 9 9 True 8453
425.png 9 9 True 8459
426.png 0 0 True 8483
427.png 5 5 True 8505
428.png 6 6 True 8539
429.png 2 2 True 8562
430.png 0 0 True 8572
431.png 3 3 True 8577
432.png 3 3 True 8600
433.png 0 0 True 8666
434.png 6 5 False 8728
435.png 5 5 True 8745
436.png 2 2 True 8747
437.png 0 0 True 8761
438.png 8 8 True 8762
439.png 5 5 True 8788
440.png 7 7 True 8821
441.png 2 2 True 8840
442.png 9 9 True 8864
443.png 9 9 True 8879
444.png 8 8 True 8888
445.png 5 5 True 8901
446.png 0 0 True 8970
447.png 6 6 True 8986
448.png 8 8 True 9000
449.png 8 8 True 9083
450.png 0 0 True 9086
451.png 5 5 True 9098
452.png 0 0 True 9124
453.png 5 5 True 9155
454.png 4 4 True 9165
455.png 2 2 True 9171
456.png 8 8 True 9183
457.png 3 3 True 9191
458.png 8 8 True 9206
459.png 2 2 True 9213
460.png 8 8 True 9220
461.png 1 1 True 9223
462.png 9 9 True 9249
463.png 9 9 True 9270
464.png 0 0 True 9271
465.png 3 3 True 9281
466.png 8 8 True 9285
467.png 3 3 True 9295
468.png 9 9 True 9332
469.png 1 1 True 9345
470.png 1 1 True 9387
471.png 7 7 True 9416
472.png 6 6 True 9456
473.png 9 9 True 9470
474.png 8 8 True 9476
475.png 7 7 True 9478
476.png 6 6 True 9537
477.png 3 3 True 9578
478.png 7 7 True 9595
479.png 7 7 True 9599
480.png 9 9 True 9667
481.png 7 7 True 9672
482.png 9 9 True 9706
483.png 0 0 True 9709
484.png 7 7 True 9710
485.png 2 2 True 9728
486.png 9 9 True 9828
487.png 3 3 True 9839
488.png 0 0 True 9847
489.png 9 9 True 9875
490.png 7 7 True 9879
491.png 4 4 True 9895
492.png 0 0 True 9912
493.png 5 5 True 9918
494.png 7 7 True 9923
495.png 4 4 True 9925
496.png 5 5 True 9928
497.png 1 1 True 9941
498.png 3 3 True 9947
499.png 3 3 True 9950
